Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,1,1901.7992324641884,793.9387210524139,0.5381676449685329,2048.522088231717,1568.9515604235653,0.9532134093196473,1252.7288087315724,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,2,1954.3319683001914,819.0506061255132,0.5504236987911133,2144.247070799539,1493.5640199103775,0.9436961256878478,1312.0613941797142,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,3,1935.8882282024983,823.804316057353,0.548563014068759,2161.3511812012116,1303.2180558085722,0.8257587217848615,1309.3418264298055,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,4,1958.9070929504721,802.8375693666941,0.5359543564346585,2163.195510776402,1374.0407021924063,0.8793981420550909,1274.7389084404049,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,5,1959.43191655681,732.829353470085,0.48549087845895855,2093.295384148405,1249.8466284034819,0.7752652683337119,1306.8794234578918,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,80,,6,1935.1896719139368,873.2705647605108,0.5827059372635754,2214.570321486746,1370.3783925053094,0.8815486332331595,1357.0508289424997,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,70,,1,1873.6803046329928,819.3275868566651,0.5905424160182997,2136.0447410510783,1701.0444377779318,1.0831548563858795,1206.3014046537587,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,70,,2,1928.8310740393133,840.3518293689601,0.597697705094249,2080.32970654036,1610.402926560162,1.0433841911473722,1232.2960988782602,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,70,,3,1938.1104880706177,904.97887139685,0.6463715298977021,2122.0574157685132,1681.3783019199836,1.0840941227966716,1303.4989887598708,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,70,,4,1938.7238105261124,867.494332170956,0.6211839014099139,2083.5766614192053,1711.8052954067016,1.0411353329314563,1280.6884628361975,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,70,,5,1910.9844912199426,925.3450173112619,0.6320978598489004,2192.092856773289,1607.8437986901633,1.0316659548328388,1219.7931362485676,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,63,,1,1979.465290588416,1001.4526413463417,0.6834998300512789,2432.2402341670677,2366.1676659367668,1.3593402253218372,1350.9196000939612,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,63,,2,2000.5231914550875,1030.787475211069,0.6907184185852698,2256.941541200188,2289.690677409378,1.2888726601714657,1394.1442427922561,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,63,,3,2032.6614105757355,1043.4738254630552,0.7064826745266256,2332.962944930674,2030.2971363711101,1.2358519155100245,1539.7544193144665,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,63,,4,2033.1765899464665,1036.3900220003939,0.6982876215300751,2301.7586783703628,1944.29937497888,1.1576988069532246,1541.6328255126764,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,63,,1,1874.7402645402917,897.6997108877456,0.6144386223418418,2112.6829703110216,1846.6966963803713,1.1448718295005267,1518.3956401942792,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,63,,2,1936.0230224733962,1036.455709086889,0.703544048235311,2203.6919743604776,2014.1670784930475,1.2035685096631754,1594.9895235175163,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,63,,3,1970.689060497642,1104.613683306727,0.7363091108174283,2290.7349363949934,1979.0317819417123,1.2476737785465377,1694.9161913869855,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,63,,4,1987.3763492307498,1083.7430081330401,0.7243831256614213,2313.465373160848,2004.6244689170892,1.1588876443616356,1559.4006542278419,1334,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,0,,1,1040.1484008716652,320.68503213635194,0.6533793577525445,1075.8791403124908,597.6640182686301,1.0973474575111624,243.08888765486466,,,,
