Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Overhead Press - BB,set,2,OVERHEADPRESS_BARBELL,40,,2,1451.8146112620002,370.1445947022441,0.8207060996495571,1629.2131127906332,738.0248431256767,1.2539556514164343,525.2387789794197,,,,
Overhead Press - BB,set,2,OVERHEADPRESS_BARBELL,40,,3,1433.924430150178,334.7421444156449,0.7464474587915361,1637.8530436609367,672.2791648790756,1.1601904465204926,530.6153607857925,,,,
Overhead Press - BB,set,2,OVERHEADPRESS_BARBELL,40,,4,1442.0462569083447,336.3137057226202,0.733641052395407,1633.1628769716472,640.8140855544485,1.158290259383685,564.4345042761308,,,,
Overhead Press - BB,set,2,OVERHEADPRESS_BARBELL,40,,5,1454.4684940616485,273.6563331266917,0.6008926008815849,1605.806965844383,648.8734470536015,1.0680103425305225,442.84522972653224,,,,
Overhead Press - BB,set,2,OVERHEADPRESS_BARBELL,40,,6,1436.6961273448603,308.6815364141321,0.665355144661103,1591.831336692123,573.0469957549836,1.0576369405918127,503.89455596252685,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,1,1478.567739509082,417.4168771754544,0.8641858780641818,1633.6268910632512,796.6089294064908,1.2572023073830112,444.3252180754119,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,2,1407.5228496668576,325.1244750600787,0.7060359618871342,1553.896661158534,654.0598590794818,1.2425853744190947,593.3633346527963,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,3,1425.498650941962,309.4863159183313,0.6558966909069172,1586.676094855979,609.8968285007275,1.0665881127163375,548.8225374535191,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,4,1432.0832335147704,301.2301733424312,0.6273664608500236,1599.5145976622387,705.6877240302067,1.172300295492118,520.8544595562912,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,5,1454.780267264653,223.69755102419438,0.44649873316187727,1602.7269652199193,455.0530925621636,0.838718117790814,476.04166972263,,,,
Overhead Press - BB,set,3,OVERHEADPRESS_BARBELL,40,,6,1427.3214748645523,195.03338950521527,0.40507662240024395,1582.226097965135,405.49816937583876,0.7573413560876661,423.3345346234353,680,,,
