Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,1,1732.54100157938,655.5270981681584,0.605815481171034,1832.9358353878933,1171.7175589003382,0.9981165006104908,491.66483514046865,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,2,1746.1200969285615,839.454874557469,0.7426754869086404,1920.986669582472,1714.2710019712913,1.3624908337937398,652.0425100588261,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,3,1776.302019052174,762.656348781135,0.7123534010352447,1923.499518082703,1710.8885354518382,1.349662026905744,660.9393539184503,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,4,1787.8991641915547,893.5584821059018,0.784136474429117,1916.6502664277737,1818.7631057839135,1.4358735987306337,690.5341398246381,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,5,1805.7775361656245,811.3550610775895,0.6958837984068648,1969.1901605004289,1438.422381995323,1.1432879420547586,650.2605389012474,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,6,1730.7078329665574,566.8749995379712,0.5761306585327943,1915.8571388424969,1148.9642347850884,0.9488175794714061,633.4923153773092,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,7,1718.0134707807808,545.4793398146243,0.4806122843462029,1872.487458614144,888.351542859829,0.7468419743378872,592.4073875957574,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,8,1756.6710931839093,624.2579013905336,0.6171655858308103,1887.8604202969527,1318.5419771249017,1.0891792427782006,596.4728176733892,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,1,1702.6469814099617,603.4968859867605,0.5755098313635008,1827.205157310044,1258.5656934542578,1.0634945633872872,488.0459564479274,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,2,1779.8602853996179,681.568455017729,0.627617802426102,1944.9303716854852,1534.2436824037193,1.2266340785072138,628.058014083891,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,3,1706.5177035357153,611.2724510836042,0.5811526380815369,1895.461467981206,1467.103235373969,1.187709108001343,692.2928025293182,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,4,1797.2343626711693,690.4556872499785,0.6391676052776176,1944.670243040208,1444.0059141384688,1.1329387904865162,642.6175186518769,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,5,1769.7719736063857,601.407249569832,0.5874861480567675,1888.8358208629138,1306.5254512106778,1.0381889949254386,624.8705846967406,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,6,1783.1540216671967,628.6841476904497,0.5987616781545363,1945.4475825648879,1301.5195912320014,1.0447365692322543,602.0173713757997,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,7,1809.4449310464963,659.7114384329071,0.5728908980057865,1979.610691110971,1259.3136885995552,0.9831330828171535,625.1515099013649,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,8,1789.864671614081,698.0195156432225,0.6165931990679934,1950.8277446928448,1417.0739829943393,1.1162117084850864,638.4476875321888,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,9,1769.111472530371,656.9787923067308,0.580890921629735,1958.1892147380963,1344.5644746979342,1.0688391111824358,654.7657944183926,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,10,1798.0795197630903,656.7884933059787,0.6290760872097467,1960.35639121649,1359.6741517903079,1.0868229438156878,616.645003769096,,,,
Deadlift - BB,set,2,DEADLIFT_BARBELL,62,,11,1734.9598667586738,589.6118403912086,0.5257296136101429,1889.2713802758665,1190.8051740586525,0.979519849562212,637.7479351584719,,,,
