Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,1,1835.7145976497736,1727.1479643187438,1.5498620924232802,2124.855824016755,2925.8910621057803,2.16763929010249,889.7650801856641,,,,
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,2,1883.5587760157912,1641.3890061539832,1.4590188956300838,2106.542770383235,3066.119520231467,2.0405858680141034,622.0058652307057,,,,
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,3,1838.4641536155525,1653.8594422433302,1.5225625782256522,2098.4822615384146,3228.779075027128,2.1294581513645485,784.1398612800629,,,,
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,4,1857.0984300948276,1648.6264945264436,1.5230492942260128,2132.3027473511206,3134.720679646526,2.1301388730433746,699.8445565787902,,,,
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,5,1831.9501135100602,1719.17624029682,1.521420962684858,2081.1073804835996,3035.2525722179817,2.1278614862725287,882.3958481679135,,,,
Power Clean - BB,set,1,POWERCLEAN_BARBELL,40,,6,1804.4340071180534,1547.395603837863,1.3973397286093203,2042.4067901543974,2726.629874340282,1.9543212987542942,718.4160891604513,,,,
Power Clean - BB,set,2,POWERCLEAN_BARBELL,46,,1,1866.457125637102,1581.7256684898637,1.4247717650394611,2271.6840125084723,3079.917799927528,1.9926877832719736,862.3668828575289,,,,
Power Clean - BB,set,2,POWERCLEAN_BARBELL,46,,2,1851.6321832014833,1637.3644645781944,1.3619431784291345,2216.305970454409,2957.438810697768,1.9048156341666216,768.7380632941135,,,,
Power Clean - BB,set,2,POWERCLEAN_BARBELL,46,,3,1862.6889618433765,1623.6879283197125,1.2874765923645033,2237.6960283291196,2469.6858044084697,1.800666562747557,666.3697903318275,,,,
Power Clean - BB,set,2,POWERCLEAN_BARBELL,46,,4,1911.8650705494374,1561.2465422369473,1.4038435149278072,2231.2037533284374,2744.129879367785,1.9634175033955346,922.047343053935,,,,
Power Clean - BB,set,2,POWERCLEAN_BARBELL,46,,5,1861.0538719374485,1756.23448385651,1.464284110724755,2166.121345374373,2941.426731515178,2.0479498052094476,950.6198139851246,,,,
Power Clean - BB,set,3,POWERCLEAN_BARBELL,52,,1,2011.3708199469506,1782.6180488542184,1.4709597574997826,2400.9600894857354,3229.7286572058206,2.05728637412557,946.5115701585419,,,,
Power Clean - BB,set,3,POWERCLEAN_BARBELL,52,,2,1992.2058144237212,1957.5469928940513,1.4786294059211693,2407.451432183282,3289.389211961568,2.0680131551345027,942.2533353479898,,,,
Power Clean - BB,set,3,POWERCLEAN_BARBELL,52,,3,2003.2378404686272,1933.2074343540373,1.5054508624508416,2298.4473383992718,3223.8428688697645,2.105525681749429,1052.9120968462628,,,,
Power Clean - BB,set,3,POWERCLEAN_BARBELL,52,,4,1983.9905506988757,1917.6237302143459,1.5247355273604895,2365.7534202946977,3309.8973319103234,2.132497241063622,1055.769637506261,,,,
Power Clean - BB,set,3,POWERCLEAN_BARBELL,52,,5,1877.4595513197144,1770.828902795934,1.4088911093555132,2255.1744928095163,3087.3830405233434,1.970477076021697,970.4374729956912,,,,
Power Clean - BB,set,4,POWERCLEAN_BARBELL,58,,1,2081.001512897073,1822.4069646823352,1.4274288196661395,2581.4570257056894,3252.686744145856,1.9964039435890064,944.6648372197649,,,,
Power Clean - BB,set,4,POWERCLEAN_BARBELL,58,,2,1997.68404690257,1800.3097310911503,1.421606990470591,2470.740350835595,3194.391832233709,1.9882615251336937,1002.389095484072,,,,
Power Clean - BB,set,4,POWERCLEAN_BARBELL,58,,3,1872.8509138192148,1946.9420355305754,1.5014837656957611,2922.214649100737,3291.4918229946766,2.099977294679386,1555.6711331505503,,,,
Power Clean - BB,set,4,POWERCLEAN_BARBELL,58,,4,1899.7074859559043,2103.279429668432,1.5094648056395228,3324.979922153507,3374.9436107952083,2.111139588307025,1377.8755166530573,,,,
Power Clean - BB,set,4,POWERCLEAN_BARBELL,58,,5,1928.8114597208512,2028.771862390358,1.5211346654104843,3971.923164303933,3248.895998916309,2.127461070504174,1433.175539051373,,,,
Power Clean - BB,set,5,POWERCLEAN_BARBELL,67,,1,2079.072954025974,1731.0400671881569,1.2977179919785087,2366.4703199607548,3083.1685483459696,1.8149901985713408,924.239198979399,,,,
Power Clean - BB,set,5,POWERCLEAN_BARBELL,67,,2,2107.961273600173,1785.2167989296704,1.276006535945235,2548.3228852930933,3005.3896076895903,1.7846245257975315,887.4494899567393,,,,
Power Clean - BB,set,5,POWERCLEAN_BARBELL,67,,3,2032.9097925659657,1525.0544360116817,1.1735279638774163,2319.45211062457,2547.2975521773365,1.641297851576806,765.5367584600466,,,,
Power Clean - BB,set,5,POWERCLEAN_BARBELL,67,,4,2040.7282138914156,1633.1389306709007,1.234710315108791,2485.759467716905,2855.5915533163065,1.7268675735787287,838.4541981794855,,,,
Power Clean - BB,set,5,POWERCLEAN_BARBELL,67,,5,2053.1796896620485,1767.461797695184,1.2594898470121163,2432.7206421800724,2837.2543415520518,1.7615242615554076,959.2800415141884,1355,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,70,,1,1980.1309174685866,1021.2908806548572,0.6487573846380491,2219.7214351189214,1968.6351848984236,1.193491014451208,1458.6780939628902,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,70,,2,2070.1361551425807,1151.0336276875578,0.737511096891427,2356.6069509348913,2150.3833023072184,1.2610261571397576,1540.4779532457064,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,70,,3,2038.281406319118,1120.4372932304118,0.7275249428770588,2261.7370256681315,1848.7316621008258,1.1318990742786421,1560.3156896340643,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,70,,4,2021.950990352034,1205.640920268222,0.771646397982846,2299.0605839062346,1908.75123717313,1.18796367970582,1649.258475742775,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,70,,5,2011.0091650145305,813.2176913883677,0.5046813780396667,2311.5574202483094,1271.3401370960562,0.7300486229377683,1667.3963463928656,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,63,,1,1897.8453864240496,1011.620664628794,0.6990816693933031,2104.9519196783076,2654.320444611789,1.559900206344268,1487.9316207627126,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,63,,2,1947.507438923778,1072.0750620817012,0.7451710738043108,2134.742644671407,1998.1334428880969,1.2724962030892724,1503.2483471739304,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,63,,3,1979.8251822996615,999.9161672507348,0.6854831520455184,2191.433944271644,1783.3695971546242,1.1343898904480447,1553.7565348442977,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,63,,4,1969.390486811396,1036.9211856006627,0.6849718223832946,2169.4502157597963,1635.7228791702892,1.0374496457783842,1489.4287186899971,,,,
Back Squat - BB,set,2,BACKSQUAT_BARBELL,63,,5,1947.9580469024502,1112.61285933725,0.7592501393271418,2211.9488346795933,1754.8730011111454,1.1294974085738763,1574.2739294580965,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,55,,1,1822.7550610703795,1066.9654180391071,0.7717036893935296,2040.7465324173327,2400.936915913798,1.547315005679725,1333.8220908293495,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,55,,2,1870.1169572415274,1003.7812266454457,0.735379072062957,2051.1180190393197,2403.6575908486616,1.5025096272212604,1370.4645125155719,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,55,,3,1884.4258401528111,922.6765018253021,0.6549062936677302,2063.3869164255,1900.887606969671,1.2286954005403232,1417.2220246835095,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,55,,4,1905.9903088612457,1084.3961302427863,0.7936866750917738,2153.711343794398,2049.6459046572068,1.3495211988194484,1559.8940097327934,,,,
Back Squat - BB,set,3,BACKSQUAT_BARBELL,55,,5,1933.1170721154397,1221.7046972669684,0.8753285018450979,2165.256478829415,2341.022252811719,1.4816046251733743,1567.630599009954,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,55,,1,1828.7870365371234,879.0938479368682,0.6401274350006894,2105.086174599536,2038.8813801240005,1.3492710736155953,1362.3752354933417,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,55,,2,1892.0850915981991,1055.2685962713526,0.7645301364462966,2122.0889168141243,2198.284920534848,1.4474101732398141,1358.840705062676,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,55,,3,1890.4015198515244,974.2102270712564,0.700055611399698,2078.328845885896,1878.590840515661,1.2232256705741094,1442.6726861197926,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,55,,4,1849.3970883043119,940.9824915576872,0.691277328189932,2010.5291656808504,1827.1501529179777,1.2105575018204602,1598.5069602272736,,,,
Back Squat - BB,set,4,BACKSQUAT_BARBELL,55,,5,1875.9760780727688,918.4422236070307,0.669149601923743,2143.0465121868224,1704.4427393833646,1.131577107165637,1527.0797014530801,1215,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,1,1866.5954562052202,769.0246426639683,0.7116594665604129,1986.1468404185985,1569.9431569692717,1.2245635065715494,535.43081173307,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,60,,2,1889.8651497553121,888.019875440393,0.8311887576066862,2063.854975136879,2187.2038413217124,1.5840259370610623,641.7201757872724,,,,
