Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,1,593.8207410644195,368.5142091485707,0.7468688342689342,717.1829959995156,893.3412964449135,1.4127762468755873,880.681657691225,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,2,579.6818077762883,412.5745980144171,0.8219202681039408,730.2392818700152,979.5649250491826,1.6230397103735175,534.3279743623855,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,3,595.988272666781,392.1676560322354,0.7976748915704793,765.9362914911568,868.4469710170395,1.5031395978485067,555.0263843037768,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,4,570.4808727134192,395.699187962422,0.7857230123546356,764.4316166945179,805.5077185115347,1.4267907709776038,593.6736409662171,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,5,574.3224870173673,353.51980210999636,0.7002869798233682,685.9831769261439,724.5748367330352,1.2697731841084023,582.1679393086198,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,6,605.6793243419406,445.2217495229199,0.8759381320300873,752.2281870464097,864.5270776312041,1.5265636383532368,611.2023866305218,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,7,598.3845687360217,433.79087813614314,0.8261718906914518,810.053653026631,764.0780551949205,1.3217123370019492,624.3615510394263,,,,
Bench Press - Narrow  Grip - BB,set,1,NARROWGRIPBENCHPRESS_BARBELL,40,,8,611.1412456755634,476.00827234789955,0.9138664428364057,827.5937627944777,895.1912175626408,1.444504444864477,604.7362136453079,,,,
Bench Press - Narrow  Grip - BB,set,2,NARROWGRIPBENCHPRESS_BARBELL,40,,1,608.9126173657188,311.1467514501798,0.6366660403295132,813.5691864278068,755.2806605876792,1.2849519672361391,484.85606263166665,,,,
Bench Press - Narrow  Grip - BB,set,2,NARROWGRIPBENCHPRESS_BARBELL,40,,2,591.6841702197167,352.4234908256799,0.7062068583081526,769.9039372970295,703.1885053148106,1.231937042588649,542.6796567056751,,,,
Bench Press - Narrow  Grip - BB,set,2,NARROWGRIPBENCHPRESS_BARBELL,40,,3,601.7747685518832,417.1102474556127,0.8004785067835185,738.9829208652893,750.4299606082948,1.3283447200090301,522.954284469055,,,,
