Exercise Name,Set Type,Set Number,Exercise Id,Load (kg),Comments,Rep Number,Average Force(N),Average Power(w),Average Velocity(m/s),Peak Force(N),Peak Power(w),Peak Velocity(m/s),Total Work(J),Volume Load Per Exercise/Superset(kg),Rep Duration(s),Rep Duration Concentric(s),Rep Duration Eccentric(s)
Back Squat - BB,set,1,BACKSQUAT_BARBELL,130,,1,2409.5914417863983,981.3394021035078,0.4946062824811554,2575.8365322694603,1873.4036575754965,0.8693074458987337,1638.9438780788132,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,130,,2,2379.314110091859,780.9394792581277,0.3935549604253861,2675.031765137525,1873.434927410646,0.8304644694370144,1609.1692799830369,,,,
Back Squat - BB,set,1,BACKSQUAT_BARBELL,130,,3,2384.920750305448,874.7845311078935,0.44455149360753254,2544.4885044713237,1709.9965867385386,0.8037983613988802,1673.0377422962129,390,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,130,,1,2406.187711016454,684.8676781118387,0.3777665465266282,2634.217698658014,1242.016638013505,0.6629949110947546,1030.7440717922818,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,130,,2,2417.101559911651,743.6373457531206,0.4092722147296607,2530.02071752848,1186.013566318945,0.6333878592512036,739.616522199737,,,,
Deadlift - BB,set,1,DEADLIFT_BARBELL,130,,3,2410.717862011924,731.3026105006401,0.41088796632682745,2545.4936285026856,1401.4108024889188,0.7507093812756455,500.1575313662732,390,,,
